"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","18.5","86.0","0.6","5.4","44.4","0.2","0.2","17.6"
"Austin Ekeler","LAC","13.9","68.8","0.6","5.0","46.3","0.3","0.2","17.0"
"Alvin Kamara","NO","13.8","64.5","0.7","5.5","44.3","0.2","0.1","15.8"
"Ezekiel Elliott","DAL","20.2","92.1","0.6","2.9","24.5","0.1","0.1","15.7"
"Marlon Mack","IND","19.0","84.4","0.8","1.7","13.7","0.1","0.1","14.7"
"Dalvin Cook","MIN","18.0","83.1","0.5","3.7","26.5","0.1","0.2","14.1"
"James Conner","PIT","16.1","67.6","0.7","3.1","24.3","0.1","0.2","13.9"
"Todd Gurley","LAR","15.5","66.5","0.7","2.3","22.3","0.1","0.1","13.4"
"Nick Chubb","CLE","16.3","73.8","0.5","3.0","23.3","0.1","0.1","13.3"
"Derrick Henry","TEN","16.9","75.3","0.8","1.2","10.9","0.0","0.1","13.2"
"Leonard Fournette","JAC","17.5","67.4","0.5","4.2","29.1","0.1","0.1","12.9"
"Kerryon Johnson","DET","15.0","67.0","0.6","2.7","22.0","0.1","0.1","12.8"
"David Johnson","ARI","13.5","54.0","0.5","4.0","32.0","0.2","0.1","12.6"
"Mark Ingram","BAL","15.1","68.6","0.7","1.7","15.4","0.0","0.1","12.4"
"Phillip Lindsay","DEN","13.8","62.0","0.6","3.1","22.7","0.1","0.1","12.0"
"Joe Mixon","CIN","15.2","65.5","0.5","2.3","17.6","0.1","0.1","11.5"
"Aaron Jones","GB","12.3","58.9","0.6","1.9","14.2","0.1","0.1","11.4"
"Chris Carson","SEA","15.2","69.3","0.3","2.3","16.2","0.1","0.3","10.5"
"David Montgomery","CHI","14.0","57.9","0.5","1.9","15.5","0.1","0.1","10.4"
"Carlos Hyde","HOU","15.1","65.0","0.5","0.5","5.1","0.0","0.1","9.8"
"Devonta Freeman","ATL","14.2","56.8","0.3","2.8","21.4","0.1","0.1","9.7"
"Josh Jacobs","OAK","14.6","63.8","0.3","1.4","11.7","0.1","0.1","9.6"
"Wayne Gallman","NYG","13.3","53.4","0.3","2.9","20.5","0.1","0.1","9.6"
"Sony Michel","NE","14.5","57.3","0.5","0.2","1.9","0.0","0.1","9.0"
"Frank Gore","BUF","14.5","56.2","0.3","1.2","11.8","0.0","0.1","8.6"
"LeSean McCoy","KC","11.6","48.0","0.2","2.2","19.5","0.1","0.1","8.4"
"Royce Freeman","DEN","12.2","51.3","0.3","2.1","14.6","0.0","0.1","8.2"
"Chris Thompson","WAS","6.4","27.7","0.1","5.1","41.9","0.1","0.1","8.2"
"James White","NE","4.0","16.7","0.1","4.2","35.7","0.4","0.0","7.8"
"Adrian Peterson","WAS","14.3","53.9","0.3","1.1","7.9","0.0","0.1","7.8"
"Miles Sanders","PHI","11.1","46.9","0.2","2.3","18.8","0.1","0.1","7.7"
"Kenyan Drake","MIA","8.2","35.1","0.1","3.4","29.0","0.1","0.1","7.5"
"Peyton Barber","TB","12.2","47.7","0.2","1.4","9.6","0.0","0.1","7.1"
"Rex Burkhead","NE","7.9","33.3","0.2","2.9","22.1","0.1","0.1","7.0"
"Jamaal Williams","GB","9.8","37.7","0.2","2.0","17.4","0.1","0.1","6.7"
"Tarik Cohen","CHI","5.0","19.5","0.1","4.4","36.0","0.1","0.2","6.5"
"Darrel Williams","KC","8.9","36.8","0.1","1.6","15.6","0.1","0.1","6.3"
"Ronald Jones II","TB","10.8","44.3","0.1","0.6","7.8","0.0","0.1","6.0"
"Duke Johnson","HOU","5.7","26.0","0.1","2.6","26.4","0.1","0.1","6.0"
"Jordan Howard","PHI","10.4","40.8","0.2","0.8","6.8","0.0","0.1","5.6"
"Rashaad Penny","SEA","8.5","41.1","0.1","0.6","5.7","0.0","0.1","5.4"
"Devin Singletary","BUF","6.6","29.0","0.1","1.7","17.7","0.1","0.1","5.4"
